24 	2.01533e-06 	1.32807e-06 	1.663e-06 	1.4333e-05 	
32 	3.1402e-06 	1.27018e-06 	2.878e-06 	1.5724e-05 	
48 	6.88021e-06 	1.90305e-06 	6.373e-06 	2.052e-05 	
64 	1.54777e-05 	2.82291e-06 	1.2272e-05 	2.8687e-05 	
96 	2.77632e-05 	1.87933e-06 	2.7311e-05 	4.4167e-05 	
128 	4.8788e-05 	5.07595e-07 	4.8473e-05 	5.3678e-05 	
192 	0.000105424 	1.23496e-05 	0.000101597 	0.000202336 	
256 	0.000192451 	2.51404e-05 	0.000180706 	0.000278226 	
384 	0.000444242 	6.78204e-05 	0.000406724 	0.000812425 	
512 	0.000770009 	7.62851e-05 	0.000732243 	0.00109001 	
768 	0.00191862 	0.000103503 	0.00171198 	0.00266409 	
1024 	0.00309858 	0.000171711 	0.00299075 	0.00432575 	
1536 	0.00692458 	0.000386703 	0.00673479 	0.0102075 	
2048 	0.0123014 	0.000683245 	0.0119958 	0.0180827 	
3072 	0.0279315 	0.00136174 	0.0273011 	0.0398792 	
4096 	0.0497252 	0.00240676 	0.0481332 	0.0698411 	
