24 	2.054e-07 	8.94138e-07 	9.4e-08 	9.095e-06 	
32 	1.0984e-07 	3.37632e-08 	7.9e-08 	3.93e-07 	
48 	1.0829e-07 	2.93146e-08 	5.5e-08 	3.5e-07 	
64 	1.0204e-07 	8.87234e-09 	7.1e-08 	1.36e-07 	
96 	1.8903e-07 	8.96858e-07 	7.4e-08 	9.112e-06 	
128 	1.0209e-07 	8.39058e-09 	7.5e-08 	1.31e-07 	
192 	9.528e-08 	9.11052e-09 	6.7e-08 	1.59e-07 	
256 	9.631e-08 	1.06073e-08 	6.1e-08 	1.55e-07 	
384 	9.541e-08 	8.44405e-09 	7.5e-08 	1.55e-07 	
512 	9.587e-08 	1.44642e-08 	5.8e-08 	2.23e-07 	
768 	9.96e-08 	4.46016e-08 	8.9e-08 	5.37e-07 	
1024 	9.788e-08 	3.17538e-08 	8.9e-08 	4.06e-07 	
1536 	1.0375e-07 	6.90616e-08 	8.9e-08 	7.66e-07 	
2048 	1.4243e-07 	6.05776e-08 	1.03e-07 	7.06e-07 	
3072 	1.4331e-07 	6.6714e-08 	1.19e-07 	7.85e-07 	
4096 	1.0229e-07 	6.04834e-08 	9e-08 	6.98e-07 	
