24 	9.377e-08 	5.35563e-08 	8.1e-08 	5.91e-07 	
32 	9.019e-08 	3.28023e-08 	5.9e-08 	3.98e-07 	
48 	8.618e-08 	1.14842e-08 	4.9e-08 	1.72e-07 	
64 	8.434e-08 	6.84576e-09 	4.9e-08 	1.21e-07 	
96 	8.562e-08 	6.47423e-09 	6.3e-08 	1.28e-07 	
128 	8.431e-08 	7.72748e-09 	5e-08 	1.31e-07 	
192 	8.176e-08 	1.39622e-08 	5.4e-08 	2.01e-07 	
256 	8.117e-08 	1.32658e-08 	4.2e-08 	1.98e-07 	
384 	8.849e-08 	1.46092e-08 	7.1e-08 	2.1e-07 	
512 	8.813e-08 	2.10227e-08 	6.4e-08 	2.83e-07 	
768 	8.878e-08 	2.41775e-08 	7.4e-08 	3.19e-07 	
1024 	8.281e-08 	2.9216e-08 	4.7e-08 	3.66e-07 	
1536 	1.0467e-07 	5.87769e-08 	8.4e-08 	6.78e-07 	
2048 	1.1373e-07 	6.11817e-08 	8.7e-08 	7.09e-07 	
3072 	8.76e-08 	6.32601e-08 	6.8e-08 	7.11e-07 	
4096 	8.508e-08 	4.17185e-08 	6.5e-08 	4.92e-07 	
