24 	1.93192e-06 	1.35446e-06 	1.602e-06 	1.2075e-05 	
32 	3.11075e-06 	1.27231e-06 	2.819e-06 	1.2084e-05 	
48 	7.00504e-06 	1.96565e-06 	6.257e-06 	1.7772e-05 	
64 	1.15023e-05 	9.5948e-07 	1.1149e-05 	2.0769e-05 	
96 	2.66482e-05 	1.29809e-06 	2.6232e-05 	3.722e-05 	
128 	4.70013e-05 	2.35839e-06 	4.6256e-05 	6.5376e-05 	
192 	0.000105537 	3.38217e-06 	0.000103406 	0.00012202 	
256 	0.000192674 	9.92471e-06 	0.000185604 	0.000230097 	
384 	0.000425961 	1.38805e-05 	0.000416895 	0.000477595 	
512 	0.00074467 	1.88957e-05 	0.000732622 	0.000839516 	
768 	0.00169907 	2.70656e-05 	0.0016756 	0.00181051 	
1024 	0.0030315 	5.93292e-05 	0.00299256 	0.00330561 	
1536 	0.00668418 	8.41522e-05 	0.00664263 	0.00730685 	
2048 	0.0119309 	7.98247e-05 	0.0118699 	0.0123621 	
3072 	0.0280176 	0.000720014 	0.0276515 	0.0299581 	
4096 	0.0493449 	0.000336154 	0.0491752 	0.0512086 	
